yor_Latn	sentiment
Ó dára gan-an láti fi hàn pé ó ṣeé ṣe fún wa láti rí i pé ọ̀rọ̀ náà ń lọ lọ́nà tó dára gan-an. . . . fíìmù yìí jẹ́ ìsọfúnni tó fani mọ́ra nípa bí ọ̀kan lára àwọn olùkọ́ ṣe hùwà ipá sí ọmọ ilé ẹ̀kọ́ girama kan.	positive
ó mà dùn o, mo rí àwọn èèyàn tó mú kí n tún wo àwọn fíìmù nollywood. ó mà dùn o, ó sì mà dùn o.	positive
Àwọn eré orí ìtàgé tó dára gan-an láti Nàìjíríà... mo fẹ́ràn eré orí ìtàgé yìí. àwọn àyíká tó dára gan-an. àwọn èèyàn ń ṣe eré orí ìtàgé tó dára gan-an. gbogbo àwọn àwàdà náà sì ṣe kedere. ó tún jẹ́ ìkọ́nilẹ́kọ̀ọ́.	positive
O ti wa ni o tọ akoonu. . awọn ede ni Street, awọn oṣere ti o ti irawọ, sinima ati editing ni o wa ni aaye. o tun ni a nla ipese. o dara ju gbogbo o fi Ajegunle lori maapu.	positive
Àrùn ààrùn tuntun tó lè tún ṣẹlẹ̀! . . . . fíìmù tó fani mọ́ra gan-an ni, ó sì sọ ohun tó ṣẹlẹ̀ lóòótọ́. Ó sàn ju fíìmù náà Contagion nínú ìwé mi lọ. Ó ti sún mọ́lé gan-an fún mi. Ó jẹ́ ọ̀kan lára àìsàn ààrùn tó burú jáì àkọ́kọ́ láyé mi. Mo fẹ́ rà fíìmù yìí lórí DVD gan-an, mo sì ti lọ wo ó ní AMẸRIKA ṣùgbọ́n kò sí àǹfààní kankan. Ẹnì kankan lè sọ fún mi bí? O ṣe kú	positive
báwo ni fíìmù kan tó ní irú àwọn nǹkan yìí ṣe lè di èyí tó ń pẹ́ tó sì ń dà bíi pé ó ń dààmú? ibo ni kánjúkánjú wà? ibo ni ìnira àti ìnira wà? bí mo ṣe ń ṣe àtúnṣe àti ìsọfúnni tó ń gbé mi lọ ti mú mi lọ́nà àrà ọ̀tọ̀, kò sì sí bí nǹkan yìí ṣe máa gùn tó wákàtí méjì ààbọ̀. ó sì mà dùn mọ́ o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o	positive
Ọ̀kàn-Àwọ̀ Ọ̀dọ́ jẹ́ fíìmù tó dára gan-an👏 . . . fíìmù yìí ni fíìmù Nollywood tó dára jù lọ tí mo ti rí títí dòní.	positive
Mo fẹ́ràn ìgbà kejì, mo sì ń retí ìgbà tí ìran kejì máa dé, mo sì fẹ́ràn gbogbo àwọn èèyàn tí mo bá ń bá wí.	positive
"ó jẹ́ fíìmù tó máa ń gbà mí ní wákàtí méjì tí kò yẹ kí n máa pè ní eré ìnàjú, bí kò ṣe ìgbà tí mo máa ń fúnni láṣẹ. bí mo bá ń ṣiyèméjì, ìdánilójú mi á túbọ̀ lágbára sí i... mo lè bá fíìmù náà kẹ́gbẹ́ nítorí pé ó ṣe kedere pé, mo ti rí ìfọ̀kànsin ọlọ́run kan rí... mo tún sọ pé ""bẹ́ẹ́ẹ́ ni"" sí ìpè ọlọ́run."	positive
Ó fi hàn pé àwọn ọ̀dọ́bìnrin tó ń kọ́ ọ́ ní yunifásítì ní Nàìjíríà àti ní Ìwọ̀ Oòrùn Áfíríkà ní àpapọ̀ ń ṣe ohun tó burú gan-an.	positive
Ó ní àwọn ọ̀rọ̀ tó ní ìlàlóye tó sì ṣe kedere, àmọ́ tó ń múni láyọ̀ kò ní rí bẹ́ẹ̀. . . . Ní gbogbo ìgbà, ìwé Fifty jẹ́ ìwé tí wọ́n ń lò, ó dára, ó sì ń gbéni ró, wọ́n retí pé kó máa wúni lórí ní òpin, àmọ́ kò fi bẹ́ẹ̀ yọjú nínú àwọn àbùkù mi, àmọ́ inú mi dùn pé mo rántí àwọn ọ̀rọ̀ àti àwọn ìran díẹ̀ tó wáyé ní òpin.	positive
sinima kunle affo ti o ni ipa julọ titi di oni... . sinima naa n sọrọ nipa koko kan ti o jẹ ipilẹ pupọ ninu eto ẹkọ nigeria. itan ti o dara, itan ti o nifẹ, iṣẹ ṣiṣe iyanu. sinima yii jẹ ọkan ninu awọn ti o dara julọ ti iwọ yoo wo lori awọn koko ti o ni ipa lori iwa-ipa ti ibatan ibatan ni awọn ile-ẹkọ giga Afirika. o kan gbadun rẹ ki o si ṣe atunyẹwo rẹ ti ko ni idamu! o jẹ ọkan ti o dara julọ	positive
Àwòrán tó dára gan-an, fíìmù tó dára, ìtàn tó dára, orin tó dára àti eré ìnàjú tó dára tí gbogbo ìdílé lè gbádùn.	positive
Ó dùn mí gan-an, ó dùn mí gan-an, àṣà, èdè àti orin rẹ̀ dára gan-an.	positive
Fíìmù náà jẹ́ ká mọ ohun tó ṣẹlẹ̀ ní ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1980 sí ọdún 1990 sí ọdún 1990 sí ọdún 2009 sí ọdún 2009 sí ọdún 2009 sí ọdún 2009 sí ọdún 2009 sí ọdún 2009 sí ọdún 2009 sí ọdún 2009 sí ọdún 2009 sí ọdún 2009 sí ọdún 2009 sí ọdún 2009 sí ọdún 2009 sí ọdún 2009 sí ọdún 2009 sí ọdún.	positive
fíìmù yìí ní ìsọfúnni tó dára, ó kún fún àwọn èèyàn tó ní ìsọfúnni tó dára, tí wọ́n sì ń gbé inú ìṣẹ̀lẹ̀ tó ń mú kí ìtàn náà rí i pé ó dára gan-an, àmọ́ ó máa ń mú kó o máa gbé ara rẹ ró bó o bá ń sọ ohun kan tàbí méjì nípa ohun tó ń sọ.	positive
"Mo ti wo ""Fifty Series"" nitori Tola oju ti wa ni mọ. Mo nifẹ si yi jara ati ki o yoo fẹ fun akoko 2 lati wa! Mo kan kórìíra pe ti o ba fi mi ni hanging lori awọn ti o kẹhin iṣẹlẹ, bi a akoko 2 yoo wa ni bọ. Nitorina jọwọ fun wa ni akoko 2!!"	positive
Ó dára gan-an! . . . Àkọlé àwòrán tó dára gan-an àti àwọn eré tó ń gbéni ró ló ń mú kí ìdílé kan ní ìdààmú ọkàn.	positive
Ojú ẹ̀yẹ tó ṣe kedere, tó sì ń dùn ún wò! ...ìṣeré oníwàhálà tó dára gan-an, tó ní ọ̀nà tó dára láti gbé ìgbésí ayé.	positive
Wọ́n lo ìgbéjàkò náà, àmọ́ ó dára gan-an láti ṣe iṣẹ́ náà títí tó fi di iṣẹ́ ìṣeré.	positive
Ìgbẹ̀dẹ̀ lè máà jẹ́ ìtàn tó dára jù lọ, àmọ́ pẹ̀lú ìṣeré Damson Idris tó fani mọ́ra, síbẹ̀, ó ṣì jẹ́ ìtàn tó yẹ ká sọ.	positive
O ṣeun pupọ!!! . . . ohun gbogbo nipa fiimu yii ni o wa ni kan lori ojuami! awọn itan line, awọn eniyan ati itọsọna .. si isalẹ si awọn aṣọ. Mo gbadun yi patapata!! mi popcorn ti jade ni iṣẹju! ife ife ife ife! jọwọ ṣe diẹ sii awọn fiimu!!!	positive
Ó dára gan-an láti fi sinimá eré ìje. . . ohun kan ṣoṣo tí mi ò fẹ́ràn nípa fíìmù yìí ni bí kò ṣe sí ìjùmọ̀sọ̀rọ̀ láàárín àwọn ará Nàìjíríà tàbí àwọn ará Íńdíà. . . . fíìmù onífẹ̀ẹ́ tó dára gan-an.	positive
fíìmù tó fani mọ́ra gan - an. mo gbádùn fíìmù yìí gan - an, mo gbádùn fíìmù yìí gan - an, mo gbádùn fíìmù yìí pẹ̀lú ìtàn tó dára gan - an, fíìmù tí mo kọ, Dakore àti àwọn tó ń ṣe é, tí wọ́n sì ń ṣe é dáadáa. àṣà wa àti ohun ìní wa ni wọ́n ń ṣe dáadáa. ó yẹ kí wọ́n gba ère Oscar tí wọ́n bá fi hàn pé ó wà nínú ẹ̀ka àwọn aráàlú. ó dájú pé mo rí ìdìbò 10/10 fún mi	positive
Ó dára gan-an fíìmù yìí!!! Ojú ẹ̀ wo! Ojú ẹ̀ wo!	positive
Ó dára gan-an, ó dára gan-an, ó sì gba pé kí èèyàn máa kíyè sí i gan-an, àmọ́ ní gbogbogbo, fíìmù náà dára gan-an.	positive
Ó ní àwọn nǹkan tó ń ṣẹlẹ̀ ní Nàìjíríà lọ́kàn, ó sì gba ẹni tó ní èrò tó jinlẹ̀ àti èrò tó ṣíṣeré láti rí i.	positive
èyí ni fíìmù tó dára jù lọ tí nollywood ṣe! ó jọ fíìmù ará amẹ́ríkà tó jẹ́ ọmọ ilẹ̀ afíríkà. fíìmù náà dára gan-an, kí o sì mọ̀ pé ó jẹ́ fíìmù àkọ́kọ́ tí àwọn akẹ́kọ́ obìnrin ṣe, ẹ̀ka àbààrá sí i.	positive
Ó dà bí eré ìdárayá Shakespeare kan, tó kún fún àwọn èèyàn tó ń ṣe eré ìdárayá, tó ní àwọn àwòrán tó ń múni gbòòrò, tó sì ń jẹ́ ká mọ bí àwọn tó ń gbé ìlú ńlá àti àwọn tó ń gbé ibòmíì ṣe ń kópa nínú àṣà ìbílẹ̀ wọn.	positive
Àwọn ará Nàìjíríà ní Brooklyn. . . . fíìmù tó fani mọ́ra gan-an ni fíìmù yìí, ó ní ìmúratán, ó sì ní àfiyèsí, ó sì ní ọ̀pọ̀ àwọ̀.	positive
Temi Otedola ṣe iṣẹ́ àgbàyanu!	positive
O ṣeun fún àpẹẹrẹ pípé nípa bí Ó ṣe ń ṣiṣẹ́ nínú ìgbésí ayé wa: fíìmù yìí ń mú kí ọkàn wa tú ká, ó ń rán wa létí bí Ó ṣe ń ṣiṣẹ́ nípasẹ̀ àwọn aláìpé, tó ronú pìwà dà èèyàn tí a kàn pè láti ṣègbọràn sí i. Ó ń ṣe gbogbo ohun tó kù. Ó jẹ́ adúróṣinṣin láti parí ohun tó ti bẹ̀rẹ̀. Ẹ ò rí i pé fíìmù tó ń bọlá fún Ọlọ́run tó ń fi hàn pé Ọlọ́run wà nínú ìwà rere àti ògo àti agbára. O ṣeun.	positive
Stroyline dára gan-an... ìyípadà ọ̀rọ̀ náà ṣe gbogbo nǹkan, ó kún fún ìfọ̀rọ̀wérọ̀, ó wúni lórí, ó sì wọni lọ́kàn gan-an. Ó ní ipa pàtàkì lórí bí ìjùmọ̀sọ̀rọ̀ ṣe ṣe pàtàkì tó nínú àjọṣe.	positive
Mo ti wo fíìmù yìí léraléra, mo sì ń retí pé kí wọ́n tún fi fíìmù míì ṣe é.	positive
Àṣà ìgbàlódé ní Nàìjíríà. . . . . Nollywood ní ohun pàtàkì kan tó jẹ́ ti ìṣèlú, ìsìn àti ẹ̀yà fún àwọn tó ń wá bí wọ́n ṣe lè lóye ìdí tí àwọn ìṣòro ńláńlá fi ń ṣẹlẹ̀ láyé àti ní báyìí, àwùjọ kékeré kan ní Nàìjíríà tó ti gbilẹ̀ gan-an lónìí. . . . ọkàn ń wá sí òótọ́ yìí fún ìrírí àti pé fíìmù yìí ń mú kí ọ̀pọ̀ nǹkan ṣẹlẹ̀.❤	positive
Ó máa ń dùn láti wo àwọn fíìmù náà, pàápàá tí o bá lóye èdè Igbo... àmọ́ ní gbogbogbo, ó dára gan-an, ó sì máa ń ṣe mí láàyò.	positive
Ó dà bíi pé oríṣiríṣi èrò tí kò tíì yé e ló ń gbé jáde nínú fíìmù yìí, tí wọ́n sì ń fi ìfẹ́ ṣeré.	positive
Genevieve Nnaji tún fi hàn pé òun ṣì ni akẹ́kọ̀ọ́ tó dára jù lọ ní Nollywood nígbà gbogbo.	positive
Fíìmù kan tó mú ìrètí orílẹ̀-èdè kan fún sinimá tó dára jù lọ jáde. . . . A lè kàn máa retí pé kí àwọn onímọ̀ sinimá mìíràn ní Nàìjíríà tún gbé orí ilẹ̀ yìí kalẹ̀ kí wọ́n lè rí bí àwọn sinimá Nàìjíríà ṣe máa rí lọ́jọ́ iwájú.	positive
Ó jọ pé ó máa ń dùn mí gan-an pé mo jẹ́ ọmọ Nàìjíríà, àmọ́ bí ọ̀rọ̀ ṣe rí lára àwọn èèyàn náà kò ní jẹ́ kí n gbàgbé wọn.	positive
Mo ń wá orin orin àti àgbéyẹ̀wò. . . . Ojú ìwé orin ni ìparí fíìmù. Ní àtẹ̀yìnwá. Kò sí ọ̀rọ̀ kankan nínú rẹ̀, ó jẹ́ orin kan. Mo ń gbìyànjú láti mọ orúkọ rẹ̀... . . Yàtọ̀ síyẹn, fíìmù ńlá kan, ó ń lọ ní pẹ́. Ìṣe ìṣeré wà. Kò sí ìyọ̀ǹda ọkàn tàbí nǹkan bíi ìyẹn. Àwọn ìjíròrò, àwọn ọ̀rọ̀ tí a yàn, àwọn ohun tó ń ṣe, àwọn ohun tó ń ṣe àbùdá. Ó dà bíi pé ò ń wo ipò gidi kan. Ó pọ̀ gan-an ní àwọn àkókò tí kò sí nǹkan kan. Nítorí náà, o lè fẹ́ irú fíìmù yìí tàbí o ò lè fẹ́ràn rẹ̀.	positive
mo fẹ́ràn fíìmù náà gan-an, ó wà lára irú fíìmù tí mo fẹ́ràn jù lọ, mo sì ń retí pé kí n rí bí àwọn ọmọ orílẹ̀-èdè Nàìjíríà ṣe máa mú àwọn fíìmù jáde síta.	positive
Àwọn ọmọkùnrin tí Kemi Adetiba kọ́ ni Ọba Àwọn Ọmọkùnrin. láti inú àwọn tí wọ́n yàn láti ṣe eré náà títí dé àwọn tí wọ́n ṣe é dáadáa, fíìmù yìí kò kéré rárá. Ìdùnnú, ìyípadà nínú ìtàn, ẹ̀rín, àìríra-ẹni-nìkan kò ní bára mu.	positive
Àìpé. . . . Ẹnì kan ní láti ràn mí lọ́wọ́ láti rí àṣìṣe nínú fíìmù yìí nítorí pé mo ti wo rèé ní ìgbà mẹ́rin, síbẹ̀ mi ò lè rí àṣìṣe kankan. Ohun gbogbo nípa fíìmù náà pé pérépéré. Fíìmù náà jẹ́ ohun ìpilẹ̀ṣẹ̀.	positive
Àkọlé tó wà nídìí rẹ̀ sì jẹ́ ìtàn gidi, ó sì ń gbéni ró gan-an.	positive
Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé àwòrán, Àkọlé, Àkọlé, Àkọlé, Àkọlé, Àkọlé, Àkọlé, Àkọlé, Àkọlé, Àkọlé, Àkọlé na, Àkọlé, Àkọlé, Àkọlé, Àkọlé, Àkọlé, Àkọlé na, Àkọlé, Àkọlé, Àkọlé na, Àkọ na, Àkọlé, Àkọ na, Àkọ na, Àkọ na, Àkọ na,	positive
bí oúnjẹ bá jẹ́ mo máa sọ pé ẹnu mi ń gbẹ. . . . fíìmù tí wọ́n ń ṣe ni mo nílò, mi ò rí ibi tí wọ́n ti lè mú kí fíìmù náà di èyí tí kò wúlò mọ́. a ti yan àwọn òṣèré dáadáa, a sì fi irú ìmọ̀ràn tó ní yìí hàn. ibi tí wọ́n ti ń ṣe é kì í ṣe tuntun rárá, àwọn ilé ẹ̀kọ́ tó dára tó bẹ́ẹ̀ ní Senegal, àwọn iṣẹ́ ọnà àti iṣẹ́ ọnà àwọn aṣáájú wa nílẹ̀ Áfíríkà ti mú kí àwọn èèyàn mọ irú ẹni tí wọ́n jẹ́ nílẹ̀-èdè Áfíríkà. . . . . ìsọfúnni tí fíìmù yìí ń gbé, bí wọ́n ṣe sọ ó ṣe pàtàkì gan-an, ó ní ìjìnlẹ̀ tó sì ní ẹ̀bùn ọ̀dọ́. ìrẹ̀sí ọkàn wà ní ipele mìíràn, ìdàpọ̀ èrò tó ń mú wá bá wa, àwọn tó ń wo fíìmù náà, ohun mìíràn ni. . . . . .	positive
Ó dára gan-an, fíìmù tó dára gan-an, ìtàn tó rọrùn gan-an tó ń sọ àwọn ọmọkùnrin méjì kan di ọ̀dọ́, ó sì tún ń sọ àwọn ìyípadà tó ń yí pa dà tó ń yí wọn ká láti di ọkùnrin tó dàgbà, ó sì yàtọ̀ pátápátá sí ohun yòówù tí mo ti rí.	positive
Mo fẹ́ràn àwọn ọmọ Naijiria mi, mo fẹ́ràn ìtàn tó fani mọ́ra.	positive
Ó dára, ó dára, ó dùn ún wò, ó sì ṣe pàtàkì.	positive
àwọn ará ìlú mi fi àwọn àfikún àfikún hàn, wọn ò sì kọjá ààlà. ọ̀kan lára àwọn àfikún àfikún tí mo fẹ́ràn jù lọ ni òjò. àwọn òṣìṣẹ́ tó ń ṣe fíìmù yìí yẹ kí a mọyì wọn gan-an nítorí ọ̀rọ̀ tí wọ́n fi kọ́ fíìmù yìí.	positive
Ohun Tó Ṣẹlẹ̀, Tó Wà Nínú Ìgbésí Ayé, Tó Wà Nínú Ìkọ́nilẹ́kọ̀ọ́ àti Tó Dára	positive
Èyí ni fíìmù tí mo fẹ́ràn jù ní Nàìjíríà.	positive
Mo mọrírì fíìmù kan tó ní ìdè ìbálòpọ̀ tó lágbára láàárín àwọn arábìnrin méjì tó ní àjọṣe tó dáa pẹ̀lú ara wọn, àmọ́ tí ìfẹ́ àti èrò òṣèlú kò ní í ṣe mọ́.	positive
A Educational But Visceral & Horrifying Film Expertly Crafted. . O jẹ fiimu nla ti o ṣe daradara ati ti o ṣe itọsọna Ọgbọn ti a ṣe ni akoko ti o jẹ ẹkọ si iwọn ṣugbọn o jẹ iriri ti o ni imọran patapata .. . Ṣawari Ibeere, ati Ọgbin Ẹgbẹ, ni England o nira lati gbagbọ diẹ ninu awọn nkan wọnyi Ti o mọ pe o da lori itan otitọ jẹ ki o jẹ ki o jẹ ati paapaa o nira pupọ lati jẹun . Boya awọn oju iṣẹlẹ diẹ jẹ fun iwe-aṣẹ ti iṣere ṣugbọn tun o wa lati diẹ ninu ibiti o jẹ gidi .. . . O wa ọpọlọpọ awọn aaye ninu fiimu nibiti Mo yoo beere nikan idi? idi ti o ṣe bẹ! Nooo! . . . . . . . ko fun ọkàn ti o wa ni ibanujẹ ati pe o jẹ iru rudurudu pẹlu ọkan rẹ o jẹ iru fiimu ti yoo fi ọ silẹ pẹlu ọpọlọpọ awọn ibeere .	positive
O jẹ fiimu ti o dara, ti o ni ilera nipa ifẹ, igbagbọ, ẹbi ati awọn itẹlọrun ti aye....... o jẹ diẹ ti o ni itẹlọrun, ṣugbọn Mo gbadun rẹ. Mo nifẹ si Mawuli Gavor ati pe Mo tun yoo wo o lẹẹkansi nikan lati ri i ..	positive
fíìmù tó dára tó ń ṣàpèjúwe àwọn ìṣẹ̀lẹ̀ àtẹ̀yìnwá tó wáyé ní ìjọba Benin. . . fíìmù yìí jẹ́ ohun tó ń kóni ní ìjìnlẹ̀ ìjìnlẹ̀ àti ohun tó ń múni láyọ̀ gan-an. mo ṣì ń ṣàníyàn pé ọdún 2014 ni wọ́n ṣe é.	positive
Àbá tó dára gan-an... ìtàn tó ní àwọn òǹwòran tó ní ẹ̀bùn, tó ń gbéni ró gan-an, tó sì ń gbéni ró gan-an.	positive
ó dáa gan - an... ó dáa gan - an. fíìmù yìí dùn gan - an, ó sì dùn gan - an láti ìbẹ̀rẹ̀. mi ò rí àṣìṣe kankan nínú rẹ̀, ó ṣeé ṣe kí ìfilọ̀ náà máa ń dùn mí gan - an, àmọ́ ohun tó ń dùn mí gan - an ni. fíìmù yìí tútù gan - an, àmọ́ ó nítumọ̀. a gbà mí níyànjú gan - an!	positive
KOB ni fíìmù Nollywood tó gbajúmọ̀ jù lọ fún mi nísinsìnyí. ìtàn náà yàtọ̀ síra gan-an, ó sì jẹ́ ojúlówó. Ó ń fi ohun tó ń lọ nínú ìṣèlú hàn ní ti gidi.	positive
Ó dára gan-an, màá sì rọ̀ ọ́ pé kó o ṣe é fún ẹnikẹ́ni!	positive
Mo fẹ́ràn fíìmù yìí gan-an, màá sì gbádùn dídi arìnrìn-àjò tí mo máa ń ṣe láti ọdún mélòó kan sígbà tí mo bá ń wo rẹ̀, màá sì gbádùn àwọn ìjíròrò tó máa wáyé.	positive
Mo fẹ́ràn fíìmù yìí gan-an	positive
Fílíìmù Tó Wà Láàárín Àwọn Èèyàn Díẹ̀	positive
ìtàn tó fani mọ́ra tó sì ṣeé fojú rí gan-an ni ìtàn náà yàtọ̀ sí fíìmù ará Nàìjíríà.	positive
Ó yẹ kí n rí ìtàn tó wúlò gan-an, ó sì gbéṣẹ́ gan-an, ó dára gan-an láti máa bá àwọn òṣèré Hollywood àti Nollywood ṣiṣẹ́.	positive
Fresh POV. . . kì í ṣe irú sinimá tí a ti ń lò ní àgbáyé ìhà ìwọ̀ oòrùn ayé, àmọ́ kì í ṣe ìtàn kan ṣoṣo ni ìṣẹ̀lẹ̀ náà ń sọ, ó tún ń sọ nípa àwọn àwọ̀ àti àṣà àgbègbè tí ìṣẹ̀lẹ̀ náà ti wáyé.	positive
"""Ìsọfúnni"" máa ń ṣiṣẹ́ dáadáa tó bá wà nínú ìpayà tó ń báni fínra tó ń bá ọmọbìnrin tó ń kópa nínú eré náà fínra nígbà tó ń sọ ọ̀rọ̀ rẹ̀, kò sì dájú bóyá ètò náà á máa ṣe ohun tó tọ́ sí i títí dìgbà tó máa parí ìṣẹ̀lẹ̀ tó ń dáni lágara yìí."	positive
Nínú fíìmù kan tó dà bíi pé ó yẹ kí ó jẹ́ eré ìtàgé kékeré, a máa ń tẹ̀ lé àjọṣe kan, tó ń dàgbà di ìdílé kan, ní ọdún méjìlélógún ní Nàìjíríà.	positive
Níkẹyìn, ọ̀kan tó dára. . . . Ìwé tí kò ṣeé já ní koro láti inú ilé ìgbajà Ayo Makun tó fi ìfẹ́ tòótọ́ kún inú ọkàn rẹ̀.	positive
fíìmù tó dára jù lọ ní nàìjíríà tí mo ti rí. fíìmù yìí yà mí lẹ́nu! ó jẹ́ ẹ̀dá tó ń dáni lẹ́nu, kò sì ṣeé fojú rí. mo fẹ́ràn bí ìtàn náà ṣe jẹ́ ojúlówó tó, ó sì bá ohun tó ń lọ ní nàìjíríà mu nísinsìnyí. eré náà dára gan-an - solà sobowale jẹ́ ìtàn àtẹ̀yìnwá!	positive
